,simulation_time,real_time
0,0.1,1750876226.931188
1,1.1,1750876227.933745
2,2.1,1750876228.9382758
3,3.1,1750876229.9444156
4,4.1,1750876230.9479973
5,5.1,1750876231.9518342
6,6.1,1750876232.9559424
7,7.1,1750876233.9582691
8,8.1,1750876234.9664044
9,9.1,1750876235.9716697
10,10.1,1750876236.9747498
11,11.1,1750876237.9784067
12,12.1,1750876238.9835367
13,13.1,1750876239.9863691
14,14.1,1750876240.991134
15,15.1,1750876241.9954627
16,16.1,1750876243.003394
17,17.1,1750876244.0075388
18,18.1,1750876245.011521
19,19.1,1750876246.014942
20,20.1,1750876247.0221322
21,21.1,1750876248.025918
22,22.1,1750876249.0288153
23,23.1,1750876250.0331914
24,24.1,1750876251.0389934
25,25.1,1750876252.0407414
26,26.1,1750876253.0433178
27,27.1,1750876254.0460052
28,28.1,1750876255.0512912
29,29.1,1750876256.0542371
30,30.1,1750876257.058199
31,31.1,1750876258.0602632
32,32.1,1750876259.067541
33,33.1,1750876260.0706925
34,34.1,1750876261.0728889
35,35.1,1750876262.0765624
36,36.1,1750876263.082164
37,37.1,1750876264.0841563
38,38.1,1750876265.0874903
39,39.1,1750876266.0912719
40,40.1,1750876267.096684
41,41.1,1750876268.1007361
42,42.1,1750876269.104797
43,43.1,1750876270.1071548
44,44.1,1750876271.1189625
45,45.1,1750876272.1235874
46,46.1,1750876273.1262846
47,47.1,1750876274.1303935
48,48.1,1750876275.1351836
49,49.1,1750876276.137529
50,50.1,1750876277.1417146
51,51.1,1750876278.1460214
52,52.1,1750876279.1497555
53,53.1,1750876280.153288
54,54.1,1750876281.1562924
55,55.1,1750876282.1595812
56,56.1,1750876283.1653686
57,57.1,1750876284.1694047
58,58.1,1750876285.1727057
59,59.1,1750876286.1769917
60,60.1,1750876287.1826062
