,simulation_time,position
0,0.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
1,1.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
2,2.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
3,3.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
4,4.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
5,4.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
6,5.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
7,6.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
8,7.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
9,8.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
10,8.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
11,9.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
12,10.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
13,11.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
14,12.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
15,12.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
16,13.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
17,14.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
18,15.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
19,16.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
20,16.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
21,17.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
22,18.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
23,19.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
24,20.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
25,20.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
26,21.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
27,22.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
28,23.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
29,24.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
30,24.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
31,25.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
32,26.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
33,27.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
34,28.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
35,28.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
36,29.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
37,30.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
38,31.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
39,32.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
40,32.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
41,33.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
42,34.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
43,35.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
44,36.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
45,36.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
46,37.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
47,38.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
48,39.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
49,40.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
50,40.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
51,41.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
52,42.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
53,43.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
54,44.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
55,44.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
56,45.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
57,46.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
58,47.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
59,48.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
60,48.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
61,49.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
62,50.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
63,51.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
64,52.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
65,52.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
66,53.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
67,54.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
68,55.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
69,56.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
70,56.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
71,57.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
72,58.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
73,59.1,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
74,60.0,"(0.02398616261780262, -0.006785190664231777, 14.869125366210938)"
