,simulation_time,position
0,0.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
1,1.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
2,2.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
3,3.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
4,4.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
5,4.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
6,5.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
7,6.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
8,7.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
9,8.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
10,8.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
11,9.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
12,10.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
13,11.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
14,12.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
15,12.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
16,13.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
17,14.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
18,15.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
19,16.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
20,16.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
21,17.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
22,18.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
23,19.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
24,20.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
25,20.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
26,21.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
27,22.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
28,23.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
29,24.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
30,24.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
31,25.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
32,26.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
33,27.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
34,28.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
35,28.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
36,29.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
37,30.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
38,31.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
39,32.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
40,32.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
41,33.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
42,34.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
43,35.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
44,36.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
45,36.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
46,37.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
47,38.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
48,39.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
49,40.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
50,40.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
51,41.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
52,42.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
53,43.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
54,44.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
55,44.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
56,45.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
57,46.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
58,47.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
59,48.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
60,48.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
61,49.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
62,50.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
63,51.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
64,52.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
65,52.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
66,53.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
67,54.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
68,55.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
69,56.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
70,56.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
71,57.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
72,58.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
73,59.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
74,60.0,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
75,60.1,"(0.024176878854632378, -0.0063555981032550335, 14.88205623626709)"
